,Country,Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,Angola,General government net lending/borrowing,,,,,,,,,,,,,,,,,5.907,-0.304,-6.709,-10.645,2.289,3.176,-2.542,-4.685,1.184,7.17,9.423,4.312,-4.235,-7.897,3.395,8.081,4.131,-0.304,-5.72,-2.917,-4.52,-6.304,2.189,0.695,-5.978,-2.482
37,Antigua and Barbuda,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Antigua and Barbuda,General government net lending/borrowing,,,,,,,,,,,0.128,-4.094,-0.854,-2.585,-4.595,-4.152,-1.727,0.0,-1.758,-3.355,-4.887,-9.401,-9.734,-8.113,-4.354,-4.806,-7.464,-5.647,-5.368,-17.895,-0.277,-3.497,-1.108,-4.296,-2.87,-2.6,-0.145,-2.841,-3.1,-3.725,-9.46,-5.635
39,Antigua and Barbuda,Current account balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,2.194,-2.428,-7.834,-13.638,-7.479,-25.567,-25.269
43,Argentina,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,0.925,-1.167,-0.939,-1.065,25.869,13.443,4.416,9.642,10.898,8.83,8.585,6.27,10.461,9.775,10.043,10.619,,,,25.675,34.277,53.548,,
44,Argentina,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,0.664,-1.81,-0.734,-1.544,40.953,3.656,6.101,12.327,9.841,8.468,7.238,7.695,10.923,9.508,10.842,10.946,23.915,,,24.796,47.646,53.832,,
46,Argentina,General government net lending/borrowing,,,,,,,,,,,,,,-0.025,-1.289,-2.137,-2.898,-1.895,-1.884,-3.817,-3.519,-5.524,-1.976,1.548,3.967,3.341,1.65,0.757,0.352,-1.83,-1.393,-2.746,-3.018,-3.254,-4.252,-6.001,-6.655,-6.703,-5.493,-3.869,,
47,Argentina,Current account balance,-1.136,-3.109,-3.193,-2.161,-1.971,-0.996,-2.487,-3.593,-1.139,1.236,3.045,-0.209,-2.608,-3.137,-3.934,-1.822,-2.425,-3.87,-4.515,-3.931,-2.964,-1.355,7.929,5.774,1.798,2.473,2.791,2.1,1.492,2.167,-0.382,-1.012,-0.369,-2.146,-1.628,-2.743,-2.713,-4.843,-5.247,-0.771,,
48,Armenia,"Gross domestic product, constant prices",,,,,,,,,,,,,,-14.054,5.4,8.033,5.169,3.387,6.271,3.17,5.853,9.468,14.807,14.052,10.473,14.113,13.198,13.749,6.948,-14.15,2.2,4.7,7.134,3.412,3.607,3.254,0.195,7.518,5.238,7.597,-1.479,4.77
49,Armenia,"Gross domestic product, current prices",,,,,,,,,,,,,4.908,4.318,4.649,5.127,5.491,5.775,6.206,6.496,7.029,7.864,9.171,10.654,12.087,14.222,16.586,19.374,21.123,18.272,18.892,20.193,22.048,23.2,24.482,25.542,25.857,28.324,30.534,33.426,33.141,35.399
50,Armenia,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,-12.014,7.963,10.381,6.828,4.375,7.296,3.838,6.196,10.184,15.183,14.427,10.837,14.872,13.575,14.13,7.307,-13.861,2.326,4.642,7.062,3.065,3.426,3.074,0.121,7.993,5.608,7.588,-1.487,4.762
51,Armenia,"Inflation, average consumer prices",,,,,,,,,,,,,,3731.8,5273.45,176.743,18.653,14.046,8.673,0.648,-0.791,3.146,1.79,4.543,5.928,0.717,3.433,4.553,9.018,3.544,7.274,7.653,2.54,5.788,2.981,3.731,-1.406,0.974,2.424,1.443,0.847,2.028
52,Armenia,"Inflation, end of period consumer prices",,,,,,,,,,,,,,10896.2,1884.55,31.935,5.809,21.876,-1.298,2.048,0.385,2.867,2.846,7.44,1.719,0.424,5.356,6.684,5.307,6.717,8.482,4.652,3.227,5.556,4.578,-0.129,-1.077,2.612,1.795,0.72,1.535,2.525
53,Armenia,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,38.4,35.3,31.2,31.6,31.2,27.8,28.7,16.4,18.7,19.0,18.4,17.3,16.2,17.6,18.5,18.0,17.8,20.4,17.707,18.964,18.389
54,Armenia,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,-1.976,-1.95,-2.334,-1.757,-7.686,-4.979,-2.875,-1.493,-1.593,-1.943,-4.837,-5.632,-4.785,-1.755,-0.976,-4.986,-2.456
55,Armenia,Current account balance,,,,,,,,,,,,,-46.28,-5.993,3.804,-16.972,-18.202,-19.315,-21.993,-16.936,-15.78,-10.44,-6.219,-6.181,-2.204,-2.529,-2.395,-7.357,-14.225,-16.484,-13.622,-10.44,-9.962,-7.31,-7.768,-2.72,-2.061,-2.988,-9.373,-8.201,-8.56,-7.225
56,Aruba,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,1.255,7.017,1.871,1.368,7.604,-2.97,-3.271,1.977,7.909,1.22,1.051,2.034,0.153,-11.334,-3.339,3.505,-1.368,4.165,0.904,-0.448,0.483,2.342,1.2,0.4,-13.7,12.1
57,Aruba,"Gross domestic product, current prices",,,,,,,,,,,,,,,,2.3,2.372,2.582,2.66,2.736,3.009,2.984,2.932,3.046,3.375,3.522,3.667,3.842,3.923,3.505,3.427,3.622,3.641,3.859,3.966,3.989,4.05,4.223,4.377,4.472,3.883,4.438
58,Aruba,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,-2.667,2.95,-0.605,0.003,6.487,-4.279,-3.519,0.822,5.629,-1.367,-0.749,1.276,-0.609,-11.934,-3.582,2.563,-3.045,2.394,-0.444,-1.726,-0.543,1.884,0.64,-0.045,-14.072,11.655
59,Aruba,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,3.2,2.996,1.875,2.277,4.049,2.882,3.316,3.656,2.529,3.398,3.608,5.392,8.957,-2.136,2.078,4.375,0.572,-2.372,0.422,0.475,-0.932,-1.028,3.626,4.257,1.514,1.952
60,Aruba,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,3.1,2.8,1.5,3.7,3.5,2.527,4.151,2.287,2.786,3.784,2.511,9.919,-1.859,6.777,-0.721,6.121,-3.716,0.08,2.201,-0.926,-0.881,-0.463,4.456,5.162,-0.663,3.257
61,Aruba,Unemployment rate,,,,,,,,,,,,,,,,,,,3.25,4.793,6.923,6.489,8.131,11.4,9.5,8.8,9.3,5.71,6.9,10.3,10.6,8.879,9.607,7.599,7.451,7.298,7.694,8.923,7.283,7.544,7.504,7.458
62,Aruba,General government net lending/borrowing,,,,,,,,,,,,,,,,-0.834,-2.343,-2.102,0.113,0.086,0.644,-0.825,-3.203,1.916,-8.632,-2.993,-2.589,-1.071,1.517,-2.688,-3.579,-6.651,-9.242,-6.396,-7.861,-1.625,-1.634,-2.987,-2.223,0.39,-15.681,-3.587
63,Aruba,Current account balance,,,,,,,,,,,,,,,,,,,,-25.271,11.063,16.091,-17.527,-8.187,12.463,4.467,12.768,9.807,-0.026,6.897,-19.383,-10.492,3.465,-12.894,-5.149,4.278,5.12,1.095,-0.101,-0.224,-11.153,-1.051
68,Australia,"Inflation, end of period consumer prices",,,,,,,,,,7.813,6.884,1.525,0.334,1.997,2.61,4.928,1.667,-0.298,1.495,1.767,5.789,3.146,3.05,2.445,2.513,2.819,3.337,2.999,3.695,2.052,2.646,2.99,2.102,2.745,1.622,1.69,1.385,2.004,1.786,1.842,1.164,2.015
70,Australia,General government net lending/borrowing,,,,,,,,,0.478,0.927,-0.232,-2.794,-4.753,-4.735,-3.801,-2.61,-1.46,-0.494,-0.246,0.667,1.254,-0.03,0.193,1.054,1.327,1.712,1.776,1.478,-1.102,-4.572,-5.127,-4.531,-3.511,-2.813,-2.919,-2.803,-2.509,-1.691,-0.942,-3.732,-9.726,-7.336
78,Austria,General government net lending/borrowing,,,,,,,,,-3.355,-3.028,-2.57,-2.946,-2.137,-4.542,-5.013,-6.141,-4.357,-2.372,-2.669,-2.618,-2.063,-0.658,-1.865,-1.382,-4.839,-2.541,-2.563,-1.382,-1.521,-5.356,-4.453,-2.577,-2.189,-1.95,-2.729,-1.046,-1.574,-0.699,0.198,0.443,-7.095,-1.562
80,Azerbaijan,"Gross domestic product, constant prices",,,,,,,,,,,,,,-23.098,-19.673,-13.027,2.531,8.884,6.007,11.396,6.227,6.486,9.439,10.208,9.254,27.962,34.466,25.463,10.591,9.369,4.789,-1.573,2.203,5.843,2.798,1.05,-3.064,0.154,1.5,2.25,-2.184,0.707
81,Azerbaijan,"Gross domestic product, current prices",,,,,,,,,,,,,34.876,27.456,22.525,20.002,20.883,23.131,24.796,28.021,30.431,33.115,36.814,41.326,46.366,61.178,84.754,109.192,123.105,135.665,143.819,144.514,150.531,162.122,169.742,173.309,169.739,173.202,180.084,187.346,184.418,189.343
82,Azerbaijan,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,-23.388,-20.836,-13.556,1.433,7.857,4.972,10.322,5.177,5.416,8.409,9.171,8.208,26.472,32.804,23.827,9.158,7.622,3.913,-2.799,0.831,4.47,1.489,-0.171,-4.188,-0.912,0.597,1.038,-3.344,-0.487
83,Azerbaijan,"Inflation, average consumer prices",,,,,,,,,,,,,,1129.7,1664.0,411.76,19.795,3.674,-0.773,-8.525,1.805,1.768,2.758,2.121,6.709,9.577,8.227,16.586,20.783,1.35,5.664,7.754,1.007,2.424,1.448,4.048,12.438,12.844,2.334,2.6,3.3,3.2
84,Azerbaijan,"Inflation, end of period consumer prices",,,,,,,,,,,,,,1350.0,1792.14,84.595,6.677,0.389,-7.593,-0.467,2.202,1.78,3.155,3.529,10.455,5.35,11.328,19.561,15.481,0.699,7.95,5.611,-0.277,3.718,-0.107,6.946,15.535,7.932,1.598,2.7,3.3,3.2
85,Azerbaijan,Unemployment rate,,,,,,,,,,,,,,,,,,,,,11.777,10.913,10.037,9.167,7.987,7.256,6.615,6.326,5.856,5.742,5.631,5.424,5.185,4.973,4.913,4.958,5.043,5.039,4.994,4.971,4.993,4.986
86,Azerbaijan,General government net lending/borrowing,,,,,,,,,,,,,,,-6.416,-1.093,-2.164,-1.032,1.631,-1.033,0.145,21.764,19.393,1.605,1.781,2.741,0.663,2.337,17.194,5.853,13.831,10.86,3.705,1.643,2.742,-4.814,-1.126,-1.366,5.547,8.419,-12.822,-9.674
87,Azerbaijan,Current account balance,,,,,,,,,,,,,-16.598,-12.199,-5.461,-13.165,-25.894,-23.11,-31.883,-13.09,-3.539,-0.945,-12.329,-27.772,-29.824,1.261,17.632,27.256,33.593,22.969,28.423,25.983,21.405,16.61,13.863,-0.438,-3.604,4.071,12.844,9.232,-8.249,-3.673
93,The Bahamas,Unemployment rate,,,,,,,12.2,11.5,11.0,11.7,12,12.3,14.8,13.1,13.292,10.9,11.505,9.779,7.743,7.796,7.0,6.9,9.102,10.835,10.202,10.17,7.628,7.853,8.703,14.246,15.082,15.889,14.367,15.782,14.636,13.379,12.15,10.1,10.35,13.381,15.203,13.615
94,The Bahamas,General government net lending/borrowing,,,,,,,,,,,-3.26,-2.912,-2.868,-1.672,-1.034,-0.441,-0.774,-2.299,-1.076,1.279,-0.53,-0.31,-2.069,-2.215,-1.947,-1.155,-0.439,-0.773,-0.824,-2.388,-2.57,-2.868,-3.253,-4.162,-3.699,-2.56,-2.556,-5.358,-3.377,-1.669,-8.447,-7.022
101,Bahrain,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,3.7,4.0,3.6,4.0,3.7,4.392,3.767,3.358,3.7,3.636,3.894,4.003,4.687,3.81
102,Bahrain,General government net lending/borrowing,,,,,,,,,,,-7.076,-3.615,-5.635,-2.883,-5.397,-4.158,0.253,-6.658,-5.725,-5.055,7.639,0.725,-3.411,-1.775,0.247,2.914,2.338,1.586,4.257,-5.586,-5.834,-1.482,-5.509,-9.723,-1.569,-18.399,-17.552,-14.234,-11.944,-10.615,-15.708,-11.911
109,Bangladesh,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Barbados,Unemployment rate,,10.76,13.65,14.945,17.037,18.631,17.735,17.934,17.137,15.244,14.945,17.236,22.915,24.41,21.75,19.625,15.75,14.55,12.15,10.35,9.35,9.85,10.3,11.0,9.575,9.075,8.725,7.425,8.125,9.975,10.25,11.15,11.5,11.625,12.275,11.3,9.65,9.95,10.05,10.357,13.41,11.448
118,Barbados,General government net lending/borrowing,,,,,,,,,,,,,,,6.832,6.449,3.918,5.805,6.426,5.788,5.351,4.383,-5.674,-3.281,-3.154,-3.255,-3.701,-4.862,-4.71,-7.412,-8.503,-4.138,-8.001,-10.24,-7.497,-9.102,-5.347,-4.285,-0.299,3.495,-0.552,1.04
120,Belarus,"Gross domestic product, constant prices",,,,,,,,,,,,,,-7.6,-11.7,-11.084,2.776,11.434,8.442,3.354,5.76,4.725,5.045,7.043,11.45,9.441,9.998,8.647,10.248,0.164,7.75,5.55,1.708,0.999,1.651,-3.83,-2.526,2.532,3.149,1.222,-5.992,3.487
121,Belarus,"Gross domestic product, current prices",,,,,,,,,,,,,52.558,49.714,44.835,40.701,42.597,48.286,52.952,55.518,60.028,64.243,68.552,74.743,85.543,96.535,109.4,122.054,137.179,138.451,150.919,162.623,168.573,173.244,179.363,174.29,171.646,179.307,189.46,195.119,184.593,194.755
122,Belarus,"Gross domestic product per capita, constant prices",,,,,,,,,,,,-1.248,-9.795,-7.808,-11.596,-10.639,3.13,11.975,8.96,3.622,6.067,5.073,5.649,7.795,12.226,10.186,10.763,9.226,10.676,0.458,7.909,5.761,1.88,1.009,1.608,-3.961,-2.701,2.457,3.29,1.404,-5.519,4.007
123,Belarus,"Inflation, average consumer prices",,,,,,,,,,,,,,1190.32,2220.9,709.297,52.688,63.82,73.018,293.733,168.601,61.133,42.568,28.398,18.094,10.336,6.992,8.429,14.828,12.95,7.743,53.228,59.218,18.303,18.107,13.523,11.829,6.032,4.867,5.6,5.608,5.593
124,Belarus,"Inflation, end of period consumer prices",,,,,,,,,,,,,,1996.63,1959.7,243.964,39.299,63.107,181.749,251.196,107.495,46.121,34.792,25.373,14.44,7.94,6.62,12.072,13.3,10.113,9.927,108.686,21.778,16.466,16.22,11.97,10.576,4.59,5.642,4.73,6.532,4.941
125,Belarus,Unemployment rate,,,,,,,,,,,,0.1,0.5,1.4,2.1,2.896,4.022,2.787,2.339,2.1,2.115,2.257,2.652,3.135,2.522,1.704,1.416,1.063,0.94,0.901,0.827,0.668,0.614,0.508,0.488,0.912,1.017,0.768,0.428,0.308,2.322,1.829
126,Belarus,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,-4.901,-8.073,-6.969,-7.304,-6.934,-7.967,-8.087,-11.275,-7.232,-4.187,-2.806,0.36,-0.982,0.092,-2.964,-1.659,-0.337,1.813,0.626,-4.632,-2.999
127,Belarus,Current account balance,,,,,,,,,,,,,1.794,-3.947,-2.929,-4.502,-3.697,-6.344,-6.967,-1.659,-3.599,-4.257,-2.223,-2.561,-5.151,1.518,-3.755,-6.654,-8.163,-12.059,-14.471,-8.233,-2.836,-10.023,-6.64,-3.251,-3.379,-1.74,0.04,-1.848,-2.932,-2.508
140,Belize,"Inflation, end of period consumer prices",,,,,,,,,,2.46,4.384,3.121,2.032,2.29,1.842,3.937,6.354,-0.536,-0.852,-1.042,0.995,0.898,3.237,2.348,3.042,4.166,2.957,4.08,4.397,-0.399,0.017,2.271,0.807,1.607,-0.173,-0.585,1.148,1.033,-0.108,1.2,0.8,2.0
141,Belize,Unemployment rate,,,,,,,,,,,15,14,12.0,10.0,9.0,12.5,13.8,12.7,14.3,12.8,11.4,9.066,10.0,12.9,11.6,11.0,9.372,8.54,8.2,13.054,13.513,13.972,14.431,11.68,11.056,10.114,9.5,9.3,9.377,9.1,18.676,14.457
142,Belize,General government net lending/borrowing,,,,,,,,,,,,,,,,,-2.472,-2.411,-3.827,-8.889,-9.141,-9.726,-6.996,-11.291,-7.285,-4.631,-1.732,-2.639,0.988,-3.476,-2.468,-1.37,-1.413,-0.732,-2.189,-6.424,-6.021,-5.666,-0.97,-1.843,-5.188,-4.257
148,Benin,"Inflation, end of period consumer prices",,0.795,4.059,-6.067,10.265,1.151,0.414,-1.339,3.445,-0.202,1.112,2.1,2.51,2.888,54.008,3.124,6.914,2.435,6.404,-3.259,9.077,2.034,1.709,1.123,2.751,3.208,7.546,0.28,7.389,-0.459,4.018,1.827,6.77,-1.838,-0.761,2.285,-2.761,2.957,-0.133,0.274,-0.801,0.6
149,Benin,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Benin,General government net lending/borrowing,,,,,,,,,,0.886,-3.244,-3.078,-2.711,-0.565,-2.141,-2.615,-0.148,0.64,2.504,1.944,-3.692,-3.269,-3.33,-1.072,-0.705,-1.523,-0.147,0.222,-0.041,-2.241,-0.276,-0.981,-0.216,-1.365,-1.651,-5.553,-4.289,-4.204,-2.974,-0.545,-2.808,-2.189
157,Bhutan,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.5,3.1,3.2,3.7,3.85,4.0,3.3,3.1,2.1,2.9,2.6,2.5,2.1,3.138,,,,
158,Bhutan,General government net lending/borrowing,,-2.896,1.773,-0.297,2.943,-8.762,-2.833,0.235,2.232,-10.071,-7.118,0.028,-3.12,5.68,0.531,-0.268,3.414,-1.389,1.922,-0.666,-2.882,-12.186,-3.959,-10.611,2.176,-6.916,0.252,2.065,-2.705,4.512,7.905,-1.757,-2.467,-5.928,2.927,-0.2,-1.935,-4.786,-3.287,0.642,-5.529,-5.858
165,Bolivia,Unemployment rate,,,,,,,,,,,,,,,,,,,,,7.462,8.498,8.69,8.708,8.427,8.146,7.992,7.668,4.43,4.913,4.375,3.837,3.229,4.0,4.0,4.0,3.463,3.63,3.493,4.0,8,4.0
166,Bolivia,General government net lending/borrowing,,-9.648,-15.899,-19.799,-25.4,-9.8,-2.7,-7.7,-6.5,-5.5,-4.4,-4.2,-4.4,-6.1,-3.0,-1.817,-1.9,-3.281,-5.1,-3.837,-3.728,-6.82,-8.788,-7.875,-5.543,-2.245,4.47,1.741,3.569,0.014,1.666,0.831,1.757,0.656,-3.364,-6.904,-7.243,-7.824,-8.144,-7.034,-7.323,-6.929
168,Bosnia and Herzegovina,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,22.853,13.814,10.75,4.442,2.362,5.053,3.858,6.257,4.236,5.691,5.979,5.594,-0.816,0.767,0.908,-0.707,2.351,1.15,3.074,3.215,3.114,3.624,2.7,-5,3.5
169,Bosnia and Herzegovina,"Gross domestic product, current prices",,,,,,,,,,,,,,,,,11.311,14.135,16.269,18.278,19.516,20.415,21.786,23.047,25.148,27.03,29.433,32.031,34.48,34.46,35.129,36.188,36.622,38.14,39.293,40.922,42.675,44.833,47.59,49.727,47.54,50.164
170,Bosnia and Herzegovina,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,,23.768,13.873,10.495,4.231,2.238,4.927,3.764,6.2,4.229,5.749,6.133,5.885,-0.365,1.43,1.817,0.4,3.577,2.256,3.95,3.777,3.402,3.726,2.752,-4.903,3.682
171,Bosnia and Herzegovina,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,5.732,-0.279,2.841,4.973,3.212,0.313,0.547,0.282,3.582,6.125,6.125,1.501,7.427,-0.381,3.989,2.053,-0.093,-0.897,-1.023,-1.584,0.81,1.417,0.684,-0.64,1.373
172,Bosnia and Herzegovina,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,5.732,-0.279,2.841,7.0,3.0,-0.4,0.5,0.6,4.3,4.548,4.944,3.809,-0.025,3.076,3.047,1.803,-1.418,-0.435,-1.298,-0.534,0.716,1.582,0.752,-0.64,1.235
173,Bosnia and Herzegovina,Unemployment rate,,,,,,,,,,,,,,,,70.0,50.0,32.23,29.272,31.096,31.096,31.096,31.096,31.096,31.096,31.096,31.096,29.013,23.408,24.068,27.202,27.6,28.0,27.5,27.5,27.7,25.4,20.5,18.4,15.7,18,16.5
174,Bosnia and Herzegovina,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,-0.978,-2.782,-4.637,-3.453,-2.995,-0.444,-0.184,0.76,2.149,0.174,-3.905,-5.346,-4.061,-2.73,-2.685,-1.804,-2.872,-0.197,0.346,1.814,1.658,2.216,-4.424,0.951
175,Bosnia and Herzegovina,Current account balance,,,,,,,,,,,,,,,,,,,-6.535,-8.694,-7.125,-12.844,-17.742,-19.241,-16.141,-16.867,-8.01,-9.464,-14.126,-6.428,-6.051,-9.486,-8.657,-5.328,-7.275,-5.076,-4.714,-4.352,-3.711,-3.563,-7.48,-5.549
180,Botswana,"Inflation, end of period consumer prices",,14.6,12.7,8.3,6.5,10.4,10.8,8.1,10.4,11.3,12,12.6,16.5,12.7,9.8,10.8,9.6,7.8,6.365,8.413,8.48,5.752,10.6,6.368,7.89,11.285,8.522,8.141,13.678,5.846,7.41,9.175,7.435,4.068,3.75,3.1,2.986,3.184,3.539,2.2,2.116,2.581
181,Botswana,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Botswana,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,8.601,-2.896,-3.912,-0.174,1.328,10.198,12.978,5.561,-7.474,-13.591,-7.848,-0.114,0.855,5.583,3.696,-4.559,0.681,-1.054,-4.588,-6.173,-5.903,-3.137
188,Brazil,"Inflation, end of period consumer prices",,95.655,104.804,164.0,215.279,242.248,79.656,363.414,980.221,1972.91,1620.97,472.685,1119.09,2477.15,916.433,22.409,9.564,5.225,1.656,8.94,5.974,7.673,12.53,9.3,7.601,5.69,3.142,4.457,5.902,4.312,5.909,6.503,5.839,5.911,6.408,10.673,6.288,2.947,3.745,4.306,3.01,3.268
189,Brazil,Unemployment rate,,,,,,,,,,,,10.1,11.6,11.0,10.5,9.9,11.2,11.6,14.7,14.7,13.9,12.5,13.0,13.7,12.9,11.4,11.5,10.9,9.4,9.7,8.5,7.8,7.4,7.2,6.783,8.283,11.258,12.767,12.258,11.925,14.7,13.5
190,Brazil,General government net lending/borrowing,,,,,,,,,,,,,,,,,-5.351,-5.601,-7.214,-5.173,-3.32,-3.172,-4.423,-5.182,-2.88,-3.542,-3.574,-2.739,-1.534,-3.19,-3.826,-2.467,-2.519,-2.955,-6.021,-10.254,-8.994,-7.86,-7.166,-6.017,-9.349,-6.132
192,Brunei Darussalam,"Gross domestic product, constant prices",,,,,,,-2.778,0.311,-0.36,2.206,1.085,3.148,4.759,0.301,3.149,4.477,2.881,-1.475,-0.56,3.053,2.853,2.745,3.872,2.903,0.504,0.388,4.412,0.12,-1.979,-1.819,2.652,3.744,0.913,-2.125,-2.508,-0.405,-2.465,1.327,0.053,3.869,1.297,3.541
193,Brunei Darussalam,"Gross domestic product, current prices",,,,,,12.146,12.047,12.383,12.774,13.567,14.228,15.172,16.256,16.692,17.585,18.758,19.651,19.695,19.805,20.705,21.771,22.86,24.12,25.282,26.093,27.01,29.055,29.872,29.85,29.531,30.667,32.48,33.405,33.269,33.035,33.244,32.76,33.82,34.662,36.631,37.342,39.418
194,Brunei Darussalam,"Gross domestic product per capita, constant prices",,,,,,,-4.668,-2.906,-3.497,0.172,-1.747,0.344,2.125,-2.009,0.361,2.223,0.366,-3.827,-3.066,0.647,0.351,0.262,0.445,1.314,-2.318,0.724,2.693,-1.368,-3.286,-3.136,0.873,2.011,-0.435,-3.241,-3.536,-1.564,-3.6,-1.561,-2.864,2.833,1.064,3.303
